experiment,algorithm,problem_size,sample_count,mean_runtime_ms,median_runtime_ms,std_runtime_ms,mean_assignment_rate,mean_total_distance_km,mean_average_distance_km,mean_workload_variance,mean_assigned_requests
dispatch,Batch Bipartite Matching,10,9,0.5,0.417,0.215,0.7333,38.17,5.17,1.15,7.3
dispatch,Batch Bipartite Matching,25,9,1.603,1.531,0.268,0.8667,105.32,4.78,1.1762,21.7
dispatch,Batch Bipartite Matching,50,9,5.525,5.59,0.217,0.9111,155.17,3.37,1.1815,45.6
dispatch,Batch Bipartite Matching,100,9,22.155,21.888,2.18,0.9356,243.06,2.59,1.2022,93.6
dispatch,Nearest Volunteer Greedy,10,9,0.646,0.5,0.34,0.6778,39.17,5.82,1.3378,6.8
dispatch,Nearest Volunteer Greedy,25,9,1.78,1.709,0.216,0.7422,93.94,5.06,1.4667,18.6
dispatch,Nearest Volunteer Greedy,50,9,6.336,6.307,0.42,0.8089,141.97,3.51,1.4215,40.4
dispatch,Nearest Volunteer Greedy,100,9,26.271,23.775,4.747,0.8222,243.94,2.97,1.4238,82.2
dispatch,Score-Based Dispatch,10,9,2.761,2.816,1.032,0.7,45.55,6.54,1.0422,7.0
dispatch,Score-Based Dispatch,25,9,26.837,26.957,2.806,0.8311,128.39,6.13,1.0791,20.8
dispatch,Score-Based Dispatch,50,9,223.878,222.797,15.91,0.8778,217.02,4.94,1.0299,43.9
dispatch,Score-Based Dispatch,100,9,1786.363,1775.595,81.732,0.9,372.85,4.14,1.0782,90.0
